,Made Donation in March 2007
659,4.20E-01
276,1.00E-01
263,2.92E-01
303,2.78E-01
83,4.48E-01
500,6.65E-01
530,3.14E-01
244,1.34E-01
249,2.55E-02
728,8.84E-02
129,1.67E-01
534,1.49E-01
317,2.63E-01
401,2.92E-01
696,2.86E-01
192,1.72E-01
176,2.16E-01
571,3.86E-01
139,7.67E-02
423,2.93E-01
563,3.81E-01
56,3.00E-01
528,3.35E-01
101,2.92E-01
467,2.61E-01
382,2.91E-01
466,3.26E-01
294,1.34E-01
512,2.96E-01
659,4.20E-01
389,3.08E-01
487,4.15E-02
701,3.34E-01
419,2.49E-01
536,2.05E-01
240,2.26E-01
508,2.33E-01
515,1.34E-01
283,3.23E-01
650,2.92E-01
65,3.51E-01
228,1.37E-01
741,7.21E-02
297,3.44E-01
464,1.27E-01
63,3.34E-01
231,3.25E-01
28,1.21E-01
248,1.34E-01
357,1.58E-01
300,4.52E-01
726,5.64E-01
680,1.55E-01
520,2.87E-01
254,5.31E-02
582,1.85E-01
143,2.26E-01
98,3.59E-01
1,2.91E-01
221,4.51E-01
352,2.92E-01
64,1.31E-01
138,2.44E-01
745,3.56E-01
64,1.31E-01
688,1.06E-01
623,1.26E-01
289,1.59E-01
174,2.96E-01
690,2.92E-01
105,1.78E-01
427,1.35E-01
48,1.44E-02
14,2.92E-01
657,5.26E-02
301,1.45E-01
455,1.33E-01
579,2.70E-01
722,1.17E-01
98,3.59E-01
491,1.44E-02
303,2.78E-01
466,3.26E-01
65,3.51E-01
300,4.52E-01
9,7.21E-02
622,1.72E-01
323,1.08E-01
289,1.59E-01
568,3.21E-01
290,2.92E-01
156,1.78E-01
464,1.27E-01
426,1.23E-01
306,1.98E-01
4,2.66E-01
12,3.17E-01
187,2.39E-01
406,6.53E-02
96,3.14E-01
509,3.34E-01
733,1.44E-01
548,7.14E-02
478,2.31E-01
501,1.76E-01
127,3.73E-01
199,1.90E-01
299,3.81E-01
162,2.92E-01
235,1.26E-01
23,2.01E-01
473,2.92E-01
487,4.15E-02
683,3.70E-01
303,2.78E-01
309,5.06E-02
569,6.00E-02
34,3.46E-01
686,5.36E-01
84,2.87E-01
733,1.44E-01
537,4.02E-01
181,1.65E-01
453,7.16E-01
67,3.70E-01
161,4.11E-01
307,2.65E-01
703,1.87E-01
181,1.65E-01
246,1.46E-01
316,3.25E-01
278,1.72E-01
346,1.94E-01
545,2.92E-01
419,2.49E-01
694,3.14E-01
622,1.72E-01
663,8.50E-02
262,5.23E-01
461,2.61E-01
373,8.29E-01
233,2.92E-01
466,3.26E-01
207,2.26E-01
263,2.92E-01
16,6.00E-02
513,6.12E-02
449,2.85E-01
429,4.11E-02
701,3.34E-01
632,5.94E-02
529,4.58E-01
245,2.53E-01
344,1.28E-01
353,1.30E-01
241,2.90E-01
633,1.13E-01
624,3.34E-01
726,5.64E-01
189,1.72E-01
138,2.44E-01
402,1.34E-01
511,3.40E-01
590,3.42E-01
334,2.21E-01
447,8.43E-02
119,3.26E-01
389,3.08E-01
644,2.92E-01
423,2.93E-01
131,6.00E-02
405,1.19E-02
82,2.92E-01
643,8.79E-01
156,1.78E-01
617,6.84E-02
574,3.57E-01
272,2.70E-01
613,1.08E-01
545,2.92E-01
685,1.34E-01
570,1.83E-01
537,4.02E-01
691,1.13E-01
85,4.13E-01
483,1.46E-01
455,1.33E-01
93,1.72E-01
744,3.34E-01
33,1.46E-01
321,6.37E-01
523,2.34E-01
426,1.23E-01
196,1.19E-01
301,1.45E-01
103,1.13E-01
224,7.71E-02
454,8.46E-02
585,6.15E-02
154,3.15E-01
